Date,Stock Code,Option Code,Closing,Change,Change(%),HSI Price,HSI Strike,"Open(HSIo,C)","Settle(HSIo,C)","Change(HSIo,C%)","Open(HSIo,P)","Settle(HSIo,P)","Change(HSIo,P%)",Strike,SV,IV(C),IV(P),Open(C),Settle(C),Change(C),Change(C%),"T-Price(tree,C)","T-Price(BS,C)",Open(P),Settle(P),Change(P),Change(P%),"T-Price(tree,P)","T-Price(BS,P)",Delta(C),Delta(P),Vega(C),Vega(P),P(-10%C),P(-5%C),P(-1%C),P(0%C),P(1%C),P(5%C),P(10%C),P(-10%P),P(-5%P),P(-1%P),P(0%P),P(1%P),P(5%P),P(10%P)
2018-08-02,1,CKH,82.85,-2.0,-2.36,27714.56055,27800.0,721,491,-41.48,390,689,97.99,82.50,16.0,22,22,2.28,2.28,-0.96,-29.63,1.74,1.48,1.00,1.85,+0.94,103.3,1.39,1.39,0.52,-0.48,0.09,0.09,0.04,0.59,1.93,2.36,2.79,5.06,8.71,7.97,4.38,2.4,2.0,1.6,0.55,0.06
2018-08-02,2,CLP,86.85,-1.0,-1.14,27714.56055,27800.0,721,491,-41.48,390,689,97.99,87.50,12.0,14,13,1.50,1.18,-0.50,-29.76,0.98,0.8,1.27,1.63,+0.49,42.98,1.63,1.72,0.4,-0.61,0.09,0.09,0.0,0.09,0.7,1.14,1.59,3.99,8.05,9.34,5.03,2.11,1.68,1.25,0.23,0.0
2018-08-02,3,HKG,15.48,-0.34,-2.15,27714.56055,27800.0,721,491,-41.48,390,689,97.99,15.50,16.0,14,13,0.40,0.25,-0.20,-44.44,0.28,0.24,0.16,0.24,+0.14,140.0,0.3,0.3,0.46,-0.54,0.02,0.02,0.0,0.03,0.17,0.25,0.33,0.79,1.53,1.57,0.81,0.33,0.25,0.17,0.03,0.0
2018-08-02,4,WHL,25.85,-0.4,-1.52,27714.56055,27800.0,721,491,-41.48,390,689,97.99,26.00,14.000000000000002,23,22,0.64,0.56,-0.18,-24.32,0.37,0.31,0.00,0.89,+0.18,25.35,0.52,0.54,0.46,-0.54,0.03,0.03,0.0,0.17,0.51,0.64,0.77,1.37,2.51,2.73,1.59,0.88,0.76,0.63,0.21,0.05
2018-08-02,5,HKB,72.8,-1.45,-1.95,27714.56055,27800.0,721,491,-41.48,390,689,97.99,72.50,13.0,19,18,1.84,1.40,-1.00,-41.67,1.24,1.04,1.10,1.72,+0.47,37.6,0.94,0.97,0.52,-0.48,0.08,0.08,0.0,0.39,1.44,1.81,2.18,4.3,7.59,6.98,3.68,1.77,1.41,1.06,0.31,0.0
2018-08-02,6,HEH,54.9,-0.2,-0.36,27714.56055,27800.0,721,491,-41.48,390,689,97.99,55.00,10.0,12,11,0.68,0.63,-0.13,-17.11,0.64,0.51,1.11,1.19,+0.11,10.19,0.74,0.78,0.45,-0.56,0.06,0.06,0.0,0.03,0.46,0.74,1.02,2.73,5.4,5.59,2.85,1.04,0.77,0.5,0.04,0.0
2018-08-02,11,HSB,204.0,-3.4,-1.64,27714.56055,27800.0,721,491,-41.48,390,689,97.99,205.00,17.0,23,21,3.99,4.24,-1.34,-24.01,3.75,3.14,4.70,6.01,+1.89,45.87,4.73,4.78,0.46,-0.54,0.22,0.22,0.0,1.35,4.1,5.15,6.2,10.96,19.96,21.4,12.3,6.63,5.64,4.65,1.48,0.28
2018-08-02,12,HLD,42.05,-0.75,-1.75,27714.56055,27800.0,721,491,-41.48,390,689,97.99,42.00,18.0,23,25,1.22,1.15,-0.40,-25.81,0.93,0.79,0.72,1.11,+0.46,70.77,0.87,0.87,0.5,-0.5,0.05,0.05,0.03,0.31,0.97,1.19,1.4,2.48,4.34,4.23,2.41,1.44,1.23,1.03,0.38,0.13
2018-08-02,16,SHK,119.5,-2.5,-2.05,27714.56055,27800.0,721,491,-41.48,390,689,97.99,120.00,16.0,20,22,2.66,2.60,-0.95,-26.76,2.1,1.74,1.90,3.13,+1.65,111.49,2.59,2.62,0.46,-0.53,0.13,0.13,0.0,0.59,2.02,2.63,3.24,6.27,11.54,12.45,7.2,3.98,3.4,2.82,0.93,0.23
2018-08-02,17,NWD,10.84,-0.18,-1.63,27714.56055,27800.0,721,491,-41.48,390,689,97.99,11.00,17.0,22,20,0.21,0.20,-0.08,-28.57,0.14,0.12,0.27,0.33,+0.10,43.48,0.3,0.32,0.4,-0.61,0.01,0.01,0.0,0.05,0.15,0.21,0.26,0.49,0.96,1.24,0.74,0.39,0.34,0.29,0.09,0.02
2018-08-02,19,SWA,84.05,-0.9,-1.06,27714.56055,27800.0,721,491,-41.48,390,689,97.99,85.00,20.0,20,21,1.65,1.49,-0.42,-21.99,1.57,1.33,2.31,2.43,+0.46,23.35,2.51,2.54,0.41,-0.58,0.09,0.09,0.0,0.35,1.12,1.56,1.99,3.89,7.6,9.36,5.54,3.01,2.6,2.19,0.68,0.18
2018-08-02,23,BEA,30.1,-0.5,-1.63,27714.56055,27800.0,721,491,-41.48,390,689,97.99,30.00,19.0,24,23,1.01,0.87,-0.26,-23.01,0.72,0.62,0.53,0.70,+0.23,48.94,0.62,0.61,0.51,-0.48,0.03,0.03,0.05,0.25,0.76,0.92,1.07,1.85,3.18,2.94,1.63,0.92,0.78,0.63,0.22,0.05
2018-08-02,27,GLX,58.85,-3.3,-5.31,27714.56055,27800.0,721,491,-41.48,390,689,97.99,60.00,35.0,35,36,2.33,1.84,-1.79,-49.31,1.93,1.69,1.50,2.97,+1.63,121.64,3.07,3.03,0.43,-0.57,0.06,0.06,0.3,0.7,1.61,1.92,2.23,3.46,5.46,7.37,4.83,3.42,3.14,2.85,1.73,0.75
2018-08-02,66,MTR,42.75,-0.7,-1.61,27714.56055,27800.0,721,491,-41.48,390,689,97.99,43.00,14.000000000000002,16,15,0.76,0.65,-0.29,-30.85,0.59,0.48,0.73,1.00,+0.37,58.73,0.83,0.86,0.43,-0.58,0.05,0.05,0.0,0.1,0.48,0.7,0.92,2.08,4.03,4.52,2.46,1.1,0.89,0.68,0.16,0.0
2018-08-02,135,KLE,6.87,-0.03,-0.43,27714.56055,27800.0,721,491,-41.48,390,689,97.99,6.75,17.0,27,26,0.00,0.28,+0.01,3.7,0.2,0.18,0.15,0.14,+0.02,16.67,0.08,0.08,0.59,-0.4,0.01,0.01,0.03,0.1,0.25,0.28,0.32,0.52,0.82,0.6,0.32,0.19,0.15,0.12,0.05,0.01
2018-08-02,151,WWC,6.35,-0.19,-2.91,27714.56055,27800.0,721,491,-41.48,390,689,97.99,6.25,32.0,42,40,0.00,0.35,-0.10,-22.22,0.29,0.27,0.18,0.23,+0.06,35.29,0.19,0.19,0.56,-0.43,0.01,0.01,0.08,0.2,0.33,0.37,0.4,0.53,0.81,0.61,0.4,0.28,0.25,0.22,0.1,0.07
2018-08-02,175,GAH,17.26,-0.72,-4.0,27714.56055,27800.0,721,491,-41.48,390,689,97.99,17.50,35.0,41,39,0.74,0.69,-0.37,-34.91,0.61,0.53,0.75,0.88,+0.29,49.15,0.84,0.83,0.46,-0.54,0.02,0.02,0.16,0.28,0.64,0.73,0.83,1.19,1.75,2.1,1.36,1.01,0.93,0.85,0.52,0.24
2018-08-02,267,CIT,10.8,-0.26,-2.35,27714.56055,27800.0,721,491,-41.48,390,689,97.99,11.00,21.0,22,23,0.25,0.19,-0.13,-40.62,0.17,0.15,0.42,0.39,+0.13,50.0,0.37,0.38,0.37,-0.62,0.01,0.01,0.0,0.05,0.13,0.19,0.24,0.47,0.92,1.28,0.79,0.45,0.4,0.35,0.14,0.05
2018-08-02,293,CPA,12.04,-0.12,-0.99,27714.56055,27800.0,721,491,-41.48,390,689,97.99,12.00,20.0,21,23,0.26,0.32,-0.07,-17.95,0.31,0.27,0.00,0.28,+0.07,33.33,0.27,0.27,0.51,-0.48,0.01,0.01,0.0,0.08,0.26,0.32,0.39,0.72,1.25,1.18,0.65,0.37,0.31,0.25,0.09,0.02
2018-08-02,358,JXC,9.58,-0.25,-2.54,27714.56055,27800.0,721,491,-41.48,390,689,97.99,9.50,27.0,29,31,0.00,0.36,-0.14,-28.0,0.35,0.31,0.24,0.29,+0.12,70.59,0.27,0.26,0.54,-0.46,0.01,0.01,0.05,0.12,0.32,0.37,0.42,0.66,1.08,0.94,0.54,0.36,0.31,0.27,0.11,0.06
2018-08-02,386,CPC,7.38,-0.21,-2.77,27714.56055,27800.0,721,491,-41.48,390,689,97.99,7.50,17.0,28,29,0.20,0.18,-0.08,-30.77,0.1,0.08,0.23,0.30,+0.12,66.67,0.21,0.23,0.42,-0.58,0.01,0.01,0.01,0.06,0.15,0.19,0.23,0.38,0.67,0.87,0.55,0.35,0.32,0.28,0.14,0.06
2018-08-02,388,HEX,224.2,-5.0,-2.18,27714.56055,27800.0,721,491,-41.48,390,689,97.99,225.00,16.0,21,19,5.80,4.34,-2.79,-39.13,3.83,3.18,5.00,7.06,+2.54,56.19,4.61,4.68,0.46,-0.54,0.25,0.25,0.0,1.26,4.12,5.27,6.42,12.03,21.91,23.22,12.99,6.6,5.51,4.41,1.32,0.0
2018-08-02,390,CRG,6.75,-0.1,-1.46,27714.56055,27800.0,721,491,-41.48,390,689,97.99,6.75,45.0,31,34,0.21,0.24,-0.08,-25.0,0.36,0.32,0.00,0.25,+0.02,8.7,0.36,0.34,0.5,-0.49,0.01,0.01,0.03,0.08,0.22,0.25,0.29,0.43,0.72,0.72,0.44,0.31,0.27,0.24,0.11,0.06
2018-08-02,489,DFM,7.89,-0.08,-1.0,27714.56055,27800.0,721,491,-41.48,390,689,97.99,8.00,23.0,31,32,0.22,0.23,-0.03,-11.54,0.16,0.14,0.00,0.34,+0.04,13.33,0.27,0.27,0.44,-0.56,0.01,0.01,0.03,0.08,0.2,0.24,0.28,0.45,0.75,0.93,0.59,0.4,0.36,0.32,0.17,0.07
2018-08-02,494,LIF,2.7,0.01,0.37,27714.56055,27800.0,721,491,-41.48,390,689,97.99,2.70,41.0,39,40,0.00,0.12,0.00,0.0,0.13,0.12,0.10,0.12,0.00,0.0,0.13,0.13,0.51,-0.49,0.0,0.0,0.03,0.06,0.11,0.13,0.14,0.2,0.3,0.3,0.19,0.14,0.13,0.12,0.07,0.03
2018-08-02,688,COL,23.55,-0.45,-1.87,27714.56055,27800.0,721,491,-41.48,390,689,97.99,24.00,28.999999999999996,30,32,0.64,0.61,-0.20,-24.69,0.6,0.52,0.85,1.08,+0.25,30.12,1.04,1.05,0.41,-0.58,0.03,0.03,0.06,0.21,0.51,0.63,0.75,1.24,2.12,2.89,1.87,1.25,1.14,1.02,0.57,0.24
2018-08-02,700,TCH,345.0,-10.0,-2.82,27714.56055,27800.0,721,491,-41.48,390,689,97.99,340.00,23.0,31,31,18.60,15.00,-5.65,-27.36,11.98,10.8,6.00,9.38,+3.97,73.38,6.95,6.88,0.57,-0.43,0.37,0.37,2.36,6.29,13.46,15.25,17.04,26.02,41.28,31.83,18.51,11.87,10.21,8.56,3.73,1.74
2018-08-02,728,CTC,3.66,-0.04,-1.08,27714.56055,27800.0,721,491,-41.48,390,689,97.99,3.70,19.0,23,27,0.00,0.08,-0.02,-20.0,0.06,0.05,0.00,0.13,+0.03,30.0,0.1,0.1,0.42,-0.56,0.0,0.0,0.0,0.02,0.06,0.08,0.1,0.18,0.34,0.41,0.25,0.16,0.14,0.12,0.05,0.02
2018-08-02,753,AIR,7.12,-0.02,-0.28,27714.56055,27800.0,721,491,-41.48,390,689,97.99,7.00,39.0,46,47,0.00,0.43,-0.03,-6.52,0.39,0.35,0.00,0.31,-0.01,-3.12,0.27,0.25,0.57,-0.43,0.01,0.01,0.11,0.26,0.41,0.45,0.49,0.64,0.93,0.71,0.51,0.37,0.34,0.3,0.17,0.1
2018-08-02,762,CHU,9.55,-0.25,-2.55,27714.56055,27800.0,721,491,-41.48,390,689,97.99,9.50,18.0,31,31,0.36,0.36,-0.13,-26.53,0.23,0.2,0.30,0.30,+0.11,57.89,0.18,0.18,0.53,-0.47,0.01,0.01,0.05,0.13,0.33,0.38,0.43,0.64,1.07,0.96,0.56,0.37,0.33,0.28,0.12,0.06
2018-08-02,823,LNK,76.0,-2.05,-2.63,27714.56055,27800.0,721,491,-41.48,390,689,97.99,75.00,22.0,19,20,1.91,2.27,-1.29,-36.24,2.5,2.24,0.49,1.22,+0.83,212.82,1.49,1.48,0.58,-0.42,0.08,0.08,0.0,0.49,1.84,2.23,2.61,5.09,8.61,6.63,3.33,1.68,1.31,0.94,0.33,0.0
